user_id,timestamp,activity_type,resource,device,location
user_1,2025-07-19 18:59:42.850956,login,Server2,Laptop-01,Chennai
user_1,2025-07-17 14:31:42.850956,file_access,Server2,Laptop-01,Hyderabad
user_1,2025-07-31 03:42:42.850956,usb_connect,Server2,Workstation-05,Kolkata
user_1,2025-07-09 15:40:42.850956,login,FinanceDB,Mobile-02,Bangalore
user_1,2025-07-16 10:36:42.850956,email_send,R&D_Repo,Mobile-02,Hyderabad
user_1,2025-07-13 14:01:42.850956,login,R&D_Repo,Workstation-05,Chennai
user_1,2025-07-30 20:42:42.850956,file_access,Server1,Tablet-03,Delhi
user_1,2025-07-16 18:26:42.850956,usb_connect,Server1,Laptop-01,Delhi
user_1,2025-07-13 18:25:42.850956,file_access,Server1,Workstation-05,Bangalore
user_1,2025-07-08 03:24:42.850956,usb_connect,Server1,Tablet-03,Kolkata
user_1,2025-07-29 14:43:42.850956,usb_connect,FinanceDB,Laptop-01,Kolkata
user_1,2025-07-14 23:34:42.850956,email_send,Server2,Tablet-03,Hyderabad
user_1,2025-07-30 17:35:42.850956,login,FinanceDB,Laptop-01,Delhi
user_1,2025-07-21 00:41:42.850956,email_send,R&D_Repo,Tablet-03,Chennai
user_1,2025-07-13 16:58:42.850956,email_send,R&D_Repo,Workstation-05,Hyderabad
user_1,2025-07-09 09:24:42.850956,login,HR_Files,Tablet-03,Bangalore
user_1,2025-07-28 04:15:42.850956,login,HR_Files,Mobile-02,Delhi
user_1,2025-07-22 10:02:42.850956,file_access,R&D_Repo,Desktop-04,Kolkata
user_1,2025-07-27 23:21:42.850956,login,Server2,Tablet-03,Bangalore
user_1,2025-07-27 02:53:42.850956,email_send,R&D_Repo,Tablet-03,Delhi
user_1,2025-07-08 12:45:42.850956,usb_connect,SharedDrive,Mobile-02,Kolkata
user_1,2025-07-19 19:13:42.850956,file_access,R&D_Repo,Laptop-01,Delhi
user_1,2025-07-10 21:49:42.850956,email_send,R&D_Repo,Desktop-04,Hyderabad
user_1,2025-07-02 11:33:42.850956,file_access,R&D_Repo,Desktop-04,Chennai
user_1,2025-07-06 08:46:42.850956,usb_connect,R&D_Repo,Laptop-01,Delhi
user_1,2025-07-19 10:43:42.850956,email_send,Server1,Desktop-04,Delhi
user_1,2025-07-15 05:38:42.850956,file_access,R&D_Repo,Desktop-04,Delhi
user_1,2025-07-05 13:51:42.850956,usb_connect,R&D_Repo,Laptop-01,Bangalore
